"Geo_FIPS","Edu_2019","Unemp_2019","Income_2019","Built_2019","Rent_2019"
17031832000,2.66,5.65,121500,49,1866
17031833300,3.99,4.8,56136,76,1631
17031834000,17.03,13.28,45822,73,1133
17031836900,16.57,12.5,27904,59,777
17197880107,10.79,4.96,64969,45,1570
17031804404,27.94,6.1,76964,43,1662
17043840000,29.2,5.59,64009,51,1101
17097862501,46.67,8.41,45657,68,1054
17097862700,52.37,11.86,32444,78,870
17097863006,0,0,0,0,0
17097863400,0.74,3.77,151591,0,1684
17031691400,7.95,10.58,36363,0,1038
17111871109,5.52,2.63,124833,22,1891
17111871307,5.61,5.48,95104,37,1180
17031803702,2.96,6,109234,52,1509
17031804106,1.78,2.35,116667,39,1681
17031817000,17.85,5.5,49468,67,969
17031818200,5.71,4.53,80764,66,1343
17031824107,8.04,7.8,72289,41,1339
17031824123,3.97,4.47,71671,44,1332
17031825000,17.33,6.82,63581,46,892
17031825504,7.3,8.57,51875,46,1297
17031050700,2.57,1.52,134583,0,1963
17031051100,6.28,0.6,145000,64,1436
17089852002,4.52,2.18,91624,43,1440
17089852500,5.23,5.41,95483,41,1324
17043845807,2.45,2.93,100250,37,1083
17043846102,2.77,5.1,77109,41,1269
17043846205,1.79,7.51,147829,37,1156
17043846308,7.07,4.74,68750,43,1206
17043846408,3.19,6.08,158808,23,1714
17043846511,12.75,6.82,86096,35,1678
17043846513,3.37,1.33,137222,0,2150
17043846522,1.66,0.93,112250,23,1676
17031252000,17.26,11.81,19921,0,843
17031260100,34.63,19.02,14505,78,556
17031260200,20.75,15.56,35192,76,1119
17031260700,27.34,18,22222,0,1118
17031271200,24.92,15.21,32159,69,892
17089852807,3.07,2.81,123095,17,2019
17089853001,11.82,2.1,70813,25,1424
17089853006,24.83,8.41,72813,48,683
17093890201,8.98,8.02,72577,41,1608
17097860103,6.11,7.65,100125,44,1013
17031060300,2.01,1.79,112574,0,1517
17031061200,1.87,1.85,138000,0,1862
17031062000,0,2.23,77222,0,1464
17031062500,1.14,4.83,150240,77,1956
17031062800,1.4,1.95,156875,55,2137
17031080201,1.22,4.59,91961,54,1650
17031081000,4.15,1.63,64640,41,1421
17031081700,0.55,3.09,101758,18,2055
17063000900,9.02,7.88,65132,55,954
17031010503,19.06,7.91,18516,71,727
17031020200,15.93,6.07,94115,66,1059
17031020602,15.65,4.35,57045,0,1323
17031805112,18.44,3.09,59180,56,1069
17031808001,11.01,3.83,101384,61,2024
17031815900,4.83,3.79,58859,50,1049
17031809900,1.24,3.95,130208,0,1632
17031803800,5.37,3.13,93262,63,1118
17031804710,2.85,2.46,86333,46,1418
17031805600,2.07,3.52,143824,76,1273
17111870904,9.34,6.66,66172,53,1080
17197883603,12.92,9.57,59940,59,819
17031802403,2.53,4.02,70511,34,1438
17031803014,13.09,4.53,70505,41,1247
17031804508,19.2,3.03,61148,42,1174
17031221600,1.65,0.85,137159,0,1798
17031241500,2.81,2.03,141983,79,1880
17031243300,9.4,0,99038,74,1532
17031261000,16.61,12.55,33350,0,1055
17031310400,12.27,0.87,81618,0,1194
17031380700,18.56,22.86,43250,60,1034
17031431301,10.85,18.64,27361,0,905
17031480300,3.5,8.05,37386,72,1034
17031491300,22.42,16.47,35250,0,1187
17031570300,29.13,8.07,48629,68,1002
17031611300,38.03,20.37,26600,0,750
17031670800,31.34,19.7,24597,0,731
17031691300,8.02,26.87,43676,0,918
17031750200,0.62,3.09,80561,0,931
17031671300,20.71,34.57,27882,0,681
17043845508,3.73,4.26,66094,43,1716
17031823705,10.78,5.91,59018,52,928
17031826100,18.97,18.11,41792,71,1408
17197880113,23.35,5.7,51298,48,1344
17197880307,5.42,2.83,91151,24,1762
17197881800,25.8,7.92,50302,0,925
17197882801,23.81,2.92,46250,46,724
17197883517,4.26,4.5,94330,42,1097
17043845200,2.24,3.15,212250,52,2483
17031010100,11.72,6.58,32474,0,922
17031010702,18.25,3.47,44583,74,1044
17043841802,2.67,5.57,128527,45,1875
